scientific_name,marker,ncbi_hits,common_name,source
Myleus pacu,12,0,pacu,"FDA The Seafood List, 2023/07/21"
Myliobatis goodei,12,0,eagle ray,"FDA The Seafood List, 2023/07/21"
Mytilus galloprovicialis x Mytilus edulis,12,0,mussel,"FDA The Seafood List, 2023/07/21"
Mytilus galloprovincalis,12,0,mediterranean mussel,FAO Cultured Aquatic Species Fact Sheets
Navodon australis,12,0,triggerfish,"FDA The Seafood List, 2023/07/21"
Nebris microps,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Nemadactylus carponotatus,12,0,morwong,"FDA The Seafood List, 2023/07/21"
Nemadactylus douglasii,12,0,morwong,"FDA The Seafood List, 2023/07/21"
Nemadactylus macropterus,12,0,tarakihi,"FDA The Seafood List, 2023/07/21"
Nematalosa vlaminghi,12,0,gizzard shad,"FDA The Seafood List, 2023/07/21"
Nematognathi,12,0,catfish,JL
Nemipterus mesoprion,12,0,threadfin bream,"FDA The Seafood List, 2023/07/21"
Neolithodes brodiei,12,0,lithodes crab,"FDA The Seafood List, 2023/07/21"
Neotropius acutirostris,12,0,batashi,"FDA The Seafood List, 2023/07/21"
Netuma thalassinus,12,0,giant whiskered fish,"FDA The Seafood List, 2023/07/21"
Nototodarus sloanii,12,0,squid,"FDA The Seafood List, 2023/07/21"
Ocenebra japonica,12,0,snail,"FDA The Seafood List, 2023/07/21"
Octopus insularis,12,0,octopus,"FDA The Seafood List, 2023/07/21"
Octopus membranaceus,12,0,octopus,"FDA The Seafood List, 2023/07/21"
Odontesthes regia,12,0,silverside,"FDA The Seafood List, 2023/07/21"
Oecophylla smaragdina,12,0,asian weaver ant,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Oncorhynchus aguabonita,12,0,trout,"FDA The Seafood List, 2023/07/21"
Opisthonema libertate,12,0,thread herring,"FDA The Seafood List, 2023/07/21"
Orcynopsis unicolor,12,0,bonito,"FDA The Seafood List, 2023/07/21"
Oreochromis mossambicus x Oreochromis niloticus,12,0,red tilapia,"FDA The Seafood List, 2023/07/21"
Orycteo rhinoceros,12,0,rhinoceros beetle larvae,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Oryctes boas,12,0,rhinoceros beetle larvae,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Ostorhinchus maculiferus,12,0,cardinalfish,"FDA The Seafood List, 2023/07/21"
Ostrea conchaphila,12,0,oyster,"FDA The Seafood List, 2023/07/21"
Otolithoides biauritus,12,0,croaker,"FDA The Seafood List, 2023/07/21"
Palaemonetes vulgaris,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Palinurus delagoae,12,0,spiny lobster,"FDA The Seafood List, 2023/07/21"
Palinurus gilchristi,12,0,spiny lobster,"FDA The Seafood List, 2023/07/21"
Pandalopsis dispar,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Pandalus goniurus,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Pandalus jordani,12,0,ocean (coldwater) shrimp,Marty Smith
Panopea bitruncata,12,0,geoduck clam,"FDA The Seafood List, 2023/07/21"
Panulirus gracilis,12,0,spiny lobster,"FDA The Seafood List, 2023/07/21"
Panulirus laevicauda,12,0,spiny lobster,"FDA The Seafood List, 2023/07/21"
Paphies australis,12,0,wedge clam,"FDA The Seafood List, 2023/07/21"
Paphies subtriangulata,12,0,wedge clam,"FDA The Seafood List, 2023/07/21"
Paphies ventricosa,12,0,wedge clam,"FDA The Seafood List, 2023/07/21"
Paralichthys aestuarius,12,0,flounder,"FDA The Seafood List, 2023/07/21"
Paralichthys microps,12,0,flounder,"FDA The Seafood List, 2023/07/21"
